strain,type,thc,cbd,flavour 1,flavour 2,flavour 3,flavour 4,effect 1,effect 2,effect 3,effect 4,grow_type,growing_time
Moby Dick 2,indica,0.220,0.001, Earthy, Woody, Pepper,, Relaxed, Happy, Energetic, Euphoric, Photoperiod, 8 weeks
Moby Dick Autoflowering,sativa,0.120,0.001, Sandalwood, Anise, Spicy, Herbal, Sweet, Happy, Clear-headed, Uplifting, Photoperiod, 7-10 weeks
Moby Dick CBD,sativa,0.220,0.001, Sweet, Earthy, Citrus, Pungent, Strong, Relaxed, Uplifting, Euphoric, Photoperiod, 9 weeks
Moby Dick XXL Autoflowering,indica,0.120,0.220, Sweet, Pungent, Sour,, Sociable, Energetic, Happy, Relaxed, Photoperiod, 7-9 weeks
Moby XL,hybrid,0.210,0.030, Sweet, Pungent, Fruity, Spicy, Uplifting, Strong, Energetic, Talkative, Photoperiod, 8 weeks
Mohan Ram,indica,0.120,0.001, Cheese, Hashish, Pungent,, Narcotic, Long-lasting, Strong, Body-buzz, Photoperiod, 8-10 weeks
Mohan Ram Autoflowering,indica,0.120,0.001, Woody, Fruity, Spicy,, Munchies, Relaxed, Body-buzz,, Photoperiod, 8-9 weeks
Money Maker,indica,0.120,0.001, Fresh, Kushy, Cheese, Pungent, Body-buzz, Relaxed, Calming, Clear-headed, Photoperiod, 8 weeks
Monster,hybrid,0.180,0.001, Fresh, Fruity, Blueberry, Sweet, Balanced, Uplifting, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
Monster Dwarf Autoflowering,hybrid,0.150,0.001, Fruity, Sweet, Candy,, Cerebral, Euphoric, Sociable, Relaxed, Photoperiod, 9 weeks
Monster Zkittlez,indica,0.170,0.220, Licorice, Flowery, Pepper,, Body-buzz, Happy, Calming, Relaxed, Autoflowering, 60-65 days
Moon Walker Kush,sativa,0.120,0.001, Pine, Pungent, Earthy, Spicy, Cerebral, Uplifting, Creative, Energetic, Photoperiod, 8 weeks
Morning Glory,hybrid,0.210,0.001, Woody, Fruity, Earthy, Mint, Body-buzz, Balanced, Uplifting, Smooth, Autoflowering, 8 weeks
Moscow Blueberry,sativa,0.170,0.008, Sweet, Skunk, Berry,, Body-buzz, Relaxed, Uplifting, Sociable, Autoflowering, 8-10 weeks
Motavation,sativa,0.220,0.001, Sweet, Chocolate,,, Energetic, Munchies, Cerebral,, Photoperiod, 8-9 weeks
Mother Gorilla,sativa,0.220,0.030, Sweet, Sour, Earthy, Spicy, Uplifting, Happy, Creative, Relaxed, Photoperiod, 10-11 weeks
Mother’s Finest,indica,0.080,0.070, Sweet, Skunk, Pungent, Fruity, Sociable, Relaxed, Happy, Calming, Photoperiod, 9 weeks
Mozambica,indica,0.220,0.001, Lemon, Woody, Pine, Diesel, Cerebral, Relaxed, Calming,, Photoperiod, 9 weeks
Mystical Blue,hybrid,0.120,0.001, Earthy, Spicy, Herbal,, Balanced, Cerebral, Long-lasting, Body-buzz, Photoperiod, 7-8 weeks
NHS,indica,0.130,0.001, Spicy, Earthy, Herbal,, Calming, Happy, Relaxed,, Photoperiod, 8-9 weeks
NL5 Haze Mist,sativa,0.120,0.001, Pungent, Lemon, Citrus, Fruity, Uplifting, Happy, Energetic,, Autoflowering, 10-11 weeks
NL5 x Skunk,indica,0.070,0.001, Earthy, Hashish, Citrus, Pine, Happy, Calming, Body-buzz, Relaxed, Autoflowering, 9-10 weeks
NY Purple Diesel,indica,0.220,0.001, Earthy, Pungent, Pine, Skunk, Balanced, Relaxed, Long-lasting, Uplifting, Photoperiod, 7-8 weeks
Nagual,sativa,0.250,0.001, Fruity, Citrus, Strawberry, Diesel, Cerebral, Strong, Euphoric, Body-buzz, Photoperiod, 9-10 weeks
Narkosis,hybrid,0.120,0.001, Citrus, Kushy, Lemon,, Cerebral, Balanced, Body-buzz,, Photoperiod, 7-8 weeks
Nebula,hybrid,0.120,0.001, Banana, Sour, Citrus, Fruity, Sociable, Giggly, Talkative, Relaxed, Photoperiod, 8-9 weeks
Nebula II CBD,indica,0.120,0.001, Woody, Kushy, Pine, Fruity, Sleepy, Calming, Cerebral, Relaxed, Autoflowering, 10 weeks
Nefertiti,indica,0.120,0.001, Citrus, Spicy, Sweet, Flowery, Calming, Relaxed, Munchies, Couch-lock, Photoperiod, 6 weeks
Nepal Jam,indica,0.180,0.001, Fresh, Citrus, Fruity, Smooth, Uplifting, Energetic, Body-buzz,, Photoperiod, 6 weeks
Nepal Kush,hybrid,0.180,0.030, Spicy, Lemon, Woody,, Relaxed, Long-lasting, Cerebral,, Photoperiod, 9-10 weeks
Nepali Queen,indica,0.120,0.001, Diesel, Skunk, Pungent, Fruity, Body-buzz, Relaxed, Talkative, Long-lasting, Photoperiod, 10 weeks
Nev OS,hybrid,0.220,0.001, Berry, Grape,,, Relaxed, Cerebral, Strong, Narcotic, Photoperiod, 9 weeks
Nevada Privada,hybrid,0.220,0.001, Earthy, Woody,,, Strong, Long-lasting, Relaxed, Body-buzz, Photoperiod, 8-9 weeks
Nevil Bilbo Autoflowering,sativa,0.070,0.220, Sour, Fruity,,, Calming, Cerebral, Happy,, Photoperiod, 9-10 weeks
Neville’s Haze,indica,0.230,0.010, Sour, Pungent, Diesel,, Happy, Narcotic, Calming, Strong, Photoperiod, 9-10 weeks
Neville’s Skunk,indica,0.120,0.001, Citrus, Earthy, Spicy, Diesel, Body-buzz, Balanced, Euphoric, Long-lasting, Photoperiod, 9-11 weeks
New Glue,sativa,0.200,0.001, Fruity, Sweet,,, Uplifting, Euphoric, Strong, Cerebral, Photoperiod, 9-10 weeks
New York City,indica,0.090,0.030, Skunk, Cheese,,, Relaxed, Happy,,, Autoflowering, 10 weeks
Next Of Kin,indica,0.200,0.001, Fruity, Mango, Citrus, Sweet, Uplifting, Long-lasting, Relaxed, Cerebral, Photoperiod, 9 weeks
Nexus,indica,0.120,0.001, Sweet, Pungent,,, Sleepy, Relaxed, Lazy, Couch-lock, Photoperiod, 7-8 weeks
Nicole Kush,sativa,0.210,0.004, Sweet, Spicy, Citrus, Mint, Psychedelic, Uplifting, Long-lasting, Strong, Photoperiod, 11 weeks
Night Queen,indica,0.170,0.220, Citrus, Sour, Fresh, Sweet, Relaxed, Happy, Body-buzz, Calming, Autoflowering, 8-9 weeks
Night Shade,hybrid,0.270,0.005, Fruity, Candy,,, Uplifting, Euphoric, Relaxed, Creative, 8-9 weeks, End of September/October
Nightingale,sativa,0.070,0.050, Sweet, Fruity, Tropical,, Alert, Sociable, Relaxed, Happy, Photoperiod, 9-10 weeks
No Mercy Special,indica,0.090,0.080, Pine, Earthy, Spicy,, Body-buzz, Relaxed, Calming, Smooth, Photoperiod, 8 weeks
No Name,hybrid,0.120,0.001, Earthy, Pungent, Grape,, Cerebral, Relaxed, Happy, Euphoric, Photoperiod, 8-9 weeks
Nordle,indica,0.140,0.010, Blueberry, Fruity, Sweet,, Relaxed, Body-buzz, Calming, Clear-headed, Autoflowering, 9-10 weeks
North Thunderfuck,indica,0.220,0.001, Sweet, Spicy, Herbal, Fruity, Happy, Couch-lock, Euphoric, Strong, Photoperiod, 8-9 weeks
Northern,indica,0.220,0.001, Earthy, Woody, Pine,, Relaxed, Body-buzz, Narcotic, Sedative, Photoperiod, 8 weeks
Northern Delights Autoflowering,hybrid,0.250,0.001, Fresh, Citrus, Fruity,, Cerebral, Happy, Euphoric,, Photoperiod, 9-10 weeks
Northern Haze Express,indica,0.120,0.001, Sweet, Skunk, Earthy, Spicy, Relaxed, Cerebral, Strong,, Photoperiod, 8-9 weeks
Northern Light,indica,0.170,0.030, Flowery, Sweet, Fruity,, Talkative, Relaxed, Happy, Giggly, Photoperiod, 8-9 weeks
Northern Light Blue,sativa,0.230,0.001, Sweet, Fresh, Tropical, Pine, Sociable, Motivated, Euphoric, Uplifting, Photoperiod, 12 weeks
Northern Light Blue Autoflowering,hybrid,0.210,0.004, Earthy, Pungent, Citrus,, Relaxed, Happy, Body-buzz, Long-lasting, Photoperiod, 9-10 weeks
Northern Lights,indica,0.120,0.001, Diesel, Spicy, Citrus, Grape, Body-buzz, Sociable, Relaxed,, Autoflowering, 10-13 weeks
Northern Lights 5 x Haze,sativa,0.200,0.001, Pine, Sweet, Citrus, Woody, Uplifting, Sociable, Talkative, Happy, Photoperiod, 9 weeks
Northern Lights 9,indica,0.150,0.030, Sweet, Fruity, Tropical, Sour, Relaxed,,,, 700g/m²,
Northern Lights Autoflowering,indica,0.120,0.001, Earthy, Spicy, Skunk,, Happy, Calming, Sociable, Relaxed, Autoflowering, 10-13 weeks
Northern Lights XL Autoflowering,hybrid,0.160,0.002, Sweet, Pineapple, Tropical, Fruity, Talkative, Cerebral, Relaxed, Happy, Photoperiod, 7 weeks
Northern Lights x Big Bud Autoflowering,hybrid,0.220,0.001, Earthy, Fresh, Flowery,, Energetic, Long-lasting, Uplifting,, Photoperiod, 9-10 weeks
Northern Lights x Big Bud Ryder,indica,0.180,0.001, Citrus, Kushy, Spicy,, Happy, Relaxed, Calming, Sleepy, Photoperiod, 8-9 weeks
Northern Russian Autoflowering,sativa,0.120,0.001, Fresh, Flowery, Fruity,, Clear-headed, Energetic, Euphoric, Attentive, Photoperiod, 8 weeks
Nurse Jackie,sativa,0.220,0.001, Sweet, Fresh, Citrus,, Cerebral, Relaxed, Uplifting, Euphoric, Photoperiod, 9-11 weeks
OG Bubble Gum,sativa,0.120,0.001, Pine, Earthy, Spicy,, Energetic, Cerebral, Euphoric, Clear-headed, Photoperiod, 9-12 weeks
OG Bubble Gum Autoflowering,indica,0.220,0.003, Citrus, Spicy, Earthy, Fruity, Strong, Couch-lock, Euphoric, Relaxed, Photoperiod, 9 weeks
OG Cheese,sativa,0.200,0.001, Lemon, Pepper, Mint, Sweet, Balanced, Euphoric, Cerebral, Energetic, Photoperiod, 9-10 weeks
OG Double Bubble,sativa,0.220,0.030, Citrus, Sweet,,, Cerebral, Strong, Euphoric, Uplifting, Photoperiod, 9 weeks
OG Kush,hybrid,0.120,0.001, Lemon, Berry, Strawberry, Pungent, Sociable, Uplifting, Relaxed,, Photoperiod, 8-9 weeks
OG Kush Autoflowering,indica,0.120,0.001, Herbal, Earthy, Spicy,, Strong, Couch-lock, Happy, Body-buzz, Photoperiod, 8-9 weeks
OG Kush Autoflowering CBD,hybrid,0.120,0.001, Cheese, Grape, Spicy, Diesel, Energetic, Uplifting, Euphoric,, Photoperiod, 8-10 weeks
OG Kush CBD,indica,0.180,0.001, Sweet, Fruity, Spicy,, Creative, Focused, Relaxed, Calming, Photoperiod, 9 weeks
OG Kush x Train Wreck,indica,0.130,0.005, Pungent, Earthy, Skunk, Sweet, Uplifting, Euphoric, Relaxed,, Autoflowering, 10 weeks
OG LA Affie,indica,0.220,0.001, Spicy, Sweet, Earthy,, Strong, Long-lasting, Body-buzz, Relaxed, Photoperiod, 8-9 weeks
OG Lemon Bilbo,hybrid,0.200,0.001, Herbal, Sweet, Fruity,, Relaxed, Giggly, Calming, Happy, Photoperiod, 10-11 weeks
OG Reek'n,hybrid,0.220,0.220, Citrus, Sweet, Caramel,, Uplifting, Energetic, Motivated, Cerebral, Photoperiod, 9-11 weeks
OGiesel,indica,0.200,0.009, Fruity, Fresh, Sweet,, Relaxed, Happy, Calming, Body-buzz, Autoflowering, 9-10 weeks
OZ Kush,hybrid,0.120,0.001, Citrus, Lemon, Grape, Candy, Balanced, Couch-lock, Body-buzz, Cerebral, Photoperiod, 8-9 weeks
Ocean Grown Cookies,sativa,0.200,0.001, Sweet, Vanilla, Candy, Licorice, Happy, Relaxed, Euphoric, Attentive, Photoperiod, 9 weeks
Ocean's Twelve Haze,indica,0.220,0.001, Fruity, Pine,,, Strong, Relaxed, Narcotic,, Photoperiod, 7-8 weeks
Ogre,indica,0.120,0.001, Berry, Pine, Earthy,, Relaxed, Body-buzz, Cerebral,, Photoperiod, 8-9 weeks
Olympia,hybrid,0.060,0.070, Citrus, Pine, Flowery, Berry, Happy, Relaxed, Calming,, Photoperiod, 8-9 weeks
One To One,indica,0.070,0.030, Sweet, Fruity, Skunk,, Creative, Euphoric, Relaxed, Calming, Photoperiod, 7-9 weeks
Onyx Autoflowering,hybrid,0.120,0.001, Hashish, Skunk, Citrus,, Happy, Cerebral, Euphoric,, Autoflowering, 10-11 weeks
Opium,indica,0.120,0.001, Berry, Sweet, Earthy, Fruity, Happy, Relaxed, Body-buzz, Sleepy, Autoflowering, 10 weeks
Orange Bud,indica,0.160,0.006, Herbal, Earthy, Spicy,, Relaxed, Sleepy, Couch-lock, Calming, Photoperiod, 8 weeks
Orange Candy,indica,0.220,0.001, Sweet, Fresh, Pungent,, Relaxed, Sleepy, Couch-lock, Calming, Photoperiod, 10-11 weeks
Orange Cream,indica,0.220,0.030, Sweet, Lemon, Fruity,, Body-buzz, Couch-lock, Narcotic, Relaxed, Photoperiod, 8-9 weeks
Orange Delight,indica,0.120,0.001, Earthy, Skunk, Cheese, Pungent, Happy, Giggly, Strong, Couch-lock, Autoflowering, 9 weeks
Orange Hill Special,indica,0.160,0.001, Citrus, Earthy,,, Creative, Uplifting, Happy,, Photoperiod, 8 weeks
Orange Sherbert,hybrid,0.220,0.001, Flowery, Fresh, Earthy, Pine, Narcotic, Sedative, Body-buzz,, Photoperiod, 9 weeks
Orient Autoflowering,hybrid,0.120,0.001, Earthy, Lemon,,, Relaxed, Uplifting, Happy,, Photoperiod, 8-9 weeks
Original Amnesia,sativa,0.120,0.001, Fruity, Sweet, Lemon, Pine, Uplifting, Cerebral, Euphoric,, Photoperiod, 8-9 weeks
Original Amnesia Autoflowering,indica,0.220,0.001, Earthy, Spicy, Citrus, Pine, Munchies, Creative, Cerebral, Relaxed, Photoperiod, 8 weeks
Original Cheese,hybrid,0.210,0.001, Sweet, Fuel, Citrus,, Long-lasting, Relaxed, Body-buzz, Sleepy, Photoperiod, 9-10 weeks
Original Clon,hybrid,0.220,0.001, Pungent, Earthy,,, Balanced, Relaxed, Body-buzz, Sociable, Autoflowering, 10 weeks
Original Glue,sativa,0.120,0.001, Citrus, Spicy, Pungent, Lemon, Motivated, Energetic, Happy, Uplifting, Photoperiod, 8-9 weeks
Original Skunk,indica,0.120,0.030, Spicy, Skunk, Earthy,, Relaxed, Body-buzz, Calming, Smooth, Autoflowering, 8-9 weeks
Original Skunk Autoflowering,indica,0.240,0.001, Sweet, Earthy, Citrus, Fruity, Strong, Relaxed, Happy, Giggly, Photoperiod, 7-8 weeks
Original White Widow,indica,0.180,0.001, Spicy, Fruity, Herbal, Fresh, Happy, Euphoric, Cerebral, Relaxed, Autoflowering, 11-13 weeks
Ortega,indica,0.060,0.070, Lemon, Peach, Sweet, Cypress, Calming, Relaxed,,, Autoflowering, 8 weeks
Ortega Indica,sativa,0.120,0.001, Woody, Spicy,,, Cerebral, Energetic, Uplifting, Relaxed, Photoperiod, 8-9 weeks
Outlaw,indica,0.120,0.001, Fruity, Kushy, Earthy, Sour, Sleepy, Happy, Strong, Relaxed, Photoperiod, 7 weeks
O’Haze Red,hybrid,0.180,0.010, Fruity, Skunk, Sweet,, Body-buzz, Relaxed, Calming, Balanced, Autoflowering, 9 weeks
POW 33,sativa,0.180,0.001, Strawberry, Peach, Sweet, Woody, Creative, Uplifting, Relaxed, Sociable, Photoperiod, 10-12 weeks
Painkiller,hybrid,0.070,0.090, Citrus, Woody, Pine, Cypress, Calming, Meditative,,, Photoperiod, 8-9 weeks
Painkiller XL,indica,0.180,0.030, Skunk, Pungent, Fruity, Sweet, Sociable, Happy, Relaxed,, Autoflowering, 11-13 weeks
Pakistan Chitral Kush,indica,0.120,0.030, Diesel, Sweet, Citrus,, Happy, Strong, Creative, Uplifting, Autoflowering, 7-8 weeks
Pakistan Ryder,sativa,0.090,0.220, Citrus, Earthy,,, Creative, Relaxed, Cerebral,, Autoflowering, 8-9 weeks
Pamir Gold,indica,0.010,0.210, Pine, Ginger, Citrus, Fruity, Clear-headed, Smooth, Calming,, Autoflowering, 9-10 weeks
Panama,hybrid,0.070,0.220, Sweet, Earthy, Woody, Citrus, Energetic, Creative, Relaxed, Focused, Photoperiod, 8-9 weeks
Panama D.C.,indica,0.220,0.001, Skunk, Citrus, Spicy,, Relaxed, Narcotic, Strong,, Photoperiod, 8-10 weeks
Panama Haze,indica,0.250,0.001, Pine, Diesel,,, Strong, Uplifting,,, Photoperiod, 8-9 weeks
Pandemia Kush,indica,0.120,0.001, Earthy, Skunk, Pine, Fruity, Relaxed, Happy, Calming,, Photoperiod, 7-8 weeks
Pandora,indica,0.180,0.010, Pungent, Earthy, Caramel, Sweet, Relaxed, Happy, Smooth, Calming, Autoflowering, 8 weeks
Pandora's Box,indica,0.180,0.110, Sweet, Tropical, Fresh,, Relaxed, Couch-lock, Body-buzz, Happy, Photoperiod, 8-9 weeks
Papaya,indica,0.150,0.010, Sweet, Fruity, Citrus,, Body-buzz, Relaxed, Happy, Giggly, Photoperiod, 8-9 weeks
Passion 1,indica,0.120,0.001, Earthy, Fruity, Pungent,, Calming, Relaxed,,, Photoperiod, 8-9 weeks
Passion Fruit,indica,0.200,0.001, Fruity, Pungent, Flowery, Sweet, Body-buzz, Relaxed, Euphoric, Happy, Photoperiod, 8 weeks
Pennywise,indica,0.120,0.001, Diesel, Spicy, Pine, Lemon, Uplifting, Relaxed, Happy, Euphoric, Photoperiod, 8-9 weeks
Peppermint Kush,indica,0.210,0.001, Fruity, Sweet,,, Narcotic, Relaxed, Calming, Sleepy, Photoperiod, 7-8 weeks
Petrodollar,indica,0.190,0.003, Earthy, Lemon, Citrus, Sweet, Body-buzz, Sleepy, Narcotic, Relaxed, Photoperiod, 7-8 weeks
Peyote Cookies,hybrid,0.120,0.001, Sweet, Fruity, Spicy,, Body-buzz, Relaxed, Happy, Creative, Photoperiod, 7-9 weeks
Peyote Critical,hybrid,0.220,0.001, Skunk, Sweet, Spicy,, Relaxed, Uplifting, Euphoric,, Photoperiod, 9-10 weeks
Phantom OG,indica,0.120,0.001, Berry, Grape, Citrus, Kushy, Body-buzz, Energetic, Creative, Balanced, Photoperiod, 8 weeks
Phat Freddy,hybrid,0.220,0.001, Earthy, Sweet,,, Euphoric, Uplifting, Motivated,, Autoflowering, 9-10 weeks
Phatt Fruity,sativa,0.200,0.030, Fresh, Fruity,,, Energetic, Cerebral, Uplifting,, Photoperiod, 8-9 weeks
Philo Skunk,hybrid,0.220,0.001, Citrus, Woody, Earthy, Cypress, Body-buzz, Energetic, Euphoric, Balanced, Photoperiod, 9 weeks
Pina Rita,hybrid,0.120,0.001, Grape, Sweet, Fruity,, Balanced, Euphoric, Body-buzz, Relaxed, Photoperiod, 7-9 weeks
Pineapple Chunk,hybrid,0.120,0.001, Diesel, Flowery, Earthy, Pine, Body-buzz, Relaxed, Happy, Balanced, Photoperiod, 8-9 weeks
Pineapple Express Autoflowering,indica,0.160,0.030, Earthy, Woody, Sweet, Spicy, Sleepy, Body-buzz, Munchies, Sociable, Autoflowering, 7-8 weeks
Pineapple Haze,indica,0.220,0.001, Citrus, Flowery, Sweet, Earthy, Body-buzz, Relaxed, Happy, Spicy, Photoperiod, 8-9 weeks
Pineapple Punch,hybrid,0.120,0.001, Woody, Flowery, Fruity,, Energetic, Uplifting, Talkative, Cerebral, Photoperiod, 9-10 weeks
Pineapple Skunk,sativa,0.120,0.001, Earthy, Pungent, Sweet,, Cerebral, Energetic, Uplifting,, Photoperiod, 7-8 weeks
Pineapple Slick,indica,0.160,0.030, Herbal, Earthy,,, Relaxed, Happy, Euphoric,, Autoflowering, 7-8 weeks
Pink Floyd,indica,0.220,0.001, Cheese, Earthy, Sweet, Citrus, Strong, Relaxed, Cerebral,, Autoflowering, 9-11 weeks
Pink Kush,indica,0.120,0.001, Cheese, Mint, Flowery,, Calming, Talkative, Relaxed, Giggly, Photoperiod, 7-9 weeks
Pink Plant,indica,0.120,0.001, Lavender, Fresh, Mint,, Happy, Relaxed,,, Autoflowering, 10 weeks
Pipi,indica,0.120,0.001, Pungent, Skunk, Spicy,, Relaxed, Calming, Happy, Body-buzz, Photoperiod, 7 weeks
Polar Express,hybrid,0.070,0.080, Candy, Spicy, Lemon, Diesel, Munchies, Smooth, Relaxed, Sleepy, Photoperiod, 8 weeks
PolarLight 3,sativa,0.220,0.001, Tropical, Fruity, Citrus,, Strong, Psychedelic, Long-lasting,, Photoperiod, 9-10 weeks
Power Flower,indica,0.120,0.001, Sweet, Grape, Earthy, Hashish, Relaxed, Body-buzz, Sleepy,, Photoperiod, 8-10 weeks
Power Kush,sativa,0.120,0.001, Fruity, Berry, Sweet, Diesel, Relaxed, Cerebral, Sociable, Happy, Autoflowering, 11 weeks
Power Kush Autoflowering,indica,0.200,0.001, Grape, Kushy, Earthy,, Relaxed, Dreamy, Body-buzz, Happy, Photoperiod, 9 weeks
Power Plant,hybrid,0.220,0.001, Nutty, Fruity, Diesel, Pungent, Cerebral, Creative, Uplifting, Energetic, Autoflowering, 10-11 weeks
Power Plant XL,sativa,0.220,0.001, Melon, Citrus, Sweet, Flowery, Energetic, Uplifting, Happy, Cerebral, Photoperiod, 8 weeks
Power Plant XL Autoflowering,indica,0.120,0.001, Sweet, Spicy, Diesel,, Talkative, Relaxed, Sleepy, Happy, Photoperiod, 8 weeks
Power Skunk,indica,0.220,0.030, Sweet, Pineapple, Berry, Fruity, Cerebral, Energetic, Euphoric, Body-buzz, Photoperiod, 8-9 weeks
Pre-98 Bubba BX2,sativa,0.200,0.010, Woody, Nutty, Pine,, Cerebral, Happy, Creative, Energetic, Autoflowering, 9-10 weeks
Prima Holandica,indica,0.060,0.120, Tropical, Sweet, Fruity,, Relaxed, Smooth,,, Photoperiod, 8-9 weeks
Princess Haze,hybrid,0.210,0.001, Sweet, Spicy, Citrus,, Euphoric, Strong, Energetic, Uplifting, Photoperiod, 9-10 weeks
Professor Chaos,sativa,0.180,0.220, Fruity, Pine, Skunk, Citrus, Euphoric, Cerebral, Energetic, Uplifting, Photoperiod, 11-12 weeks
Prozack,indica,0.180,0.030, Pine, Earthy, Sweet,, Relaxed, Body-buzz, Euphoric, Balanced, Autoflowering, 8-10 weeks
Psicodelicia,indica,0.120,0.001, Spicy, Earthy, Fresh,, Relaxed, Body-buzz, Couch-lock, Calming, Photoperiod, 7-8 weeks
Psycho Crack,sativa,0.220,0.001, Berry, Earthy, Melon, Citrus, Energetic, Dreamy, Uplifting,, Photoperiod, 9-10 weeks
Pulsar,indica,0.180,0.001, Earthy, Sweet, Spicy, Mellow, Relaxed, Happy, Calming,, Autoflowering, 8-9 weeks
Punky Lion,sativa,0.120,0.220, Sweet, Spicy, Citrus, Woody, Uplifting, Relaxed, Sociable, Motivated, Photoperiod, 8-9 weeks
Pure Kush,sativa,0.120,0.001, Lemon, Citrus, Sweet,, Cerebral, Uplifting, Relaxed,, Autoflowering, 10 weeks
Pure Power Plant,hybrid,0.210,0.001, Skunk, Hashish, Strawberry, Lemon, Focused, Creative, Uplifting, Energetic, Photoperiod, 9-10 weeks
Pure Power Plant Autoflowering,sativa,0.130,0.002, Earthy, Sweet, Pine,, Cerebral, Energetic, Uplifting, Trippy, Photoperiod, 9 weeks
Purgatory,indica,0.150,0.030, Sweet, Berry, Cheese, Pungent, Balanced, Happy, Body-buzz, Cerebral, Autoflowering, 9-12 weeks
Purple,hybrid,0.180,0.010, Sweet, Herbal, Woody, Spicy, Cerebral, Relaxed, Balanced, Uplifting, Photoperiod, 9 weeks
Purple 1,indica,0.120,0.001, Pine, Lime, Cherry, Fuel, Clear-headed, Relaxed, Body-buzz, Alert, Photoperiod, 10 weeks
Purple Afghan Kush,hybrid,0.160,0.001, Sweet, Spicy, Earthy,, Uplifting, Body-buzz, Relaxed, Cerebral, Photoperiod, 9 weeks
Purple Bud,sativa,0.220,0.001, Sweet, Fruity, Diesel,, Long-lasting, Trippy, Cerebral, Strong, Photoperiod, 10-11 weeks
Purple Cheddar,indica,0.190,0.004, Sweet, Skunk, Earthy, Spicy, Sociable, Relaxed, Happy, Body-buzz, Photoperiod, 9 weeks
Purple Chem,sativa,0.010,0.120, Sweet, Lemon, Tropical,, Calming, Clear-headed, Mellow,, Photoperiod, 8-9 weeks
Purple Glue,sativa,0.180,0.030, Earthy, Flowery, Citrus, Sweet, Motivated, Euphoric, Cerebral, Focused, Photoperiod, 9-10 weeks
Purple Haze,sativa,0.210,0.001, Woody, Spicy, Mint, Herbal, Energetic, Happy, Cerebral, Euphoric, Autoflowering, 11-12 weeks
Purple Kush,indica,0.120,0.001, Spicy, Skunk, Pepper,, Smooth, Body-buzz, Relaxed,, Autoflowering, 10-11 weeks
Purple Moby Dick,sativa,0.190,0.002, Fruity, Citrus, Tropical,, Relaxed, Strong, Happy, Cerebral, Autoflowering, 11-12 weeks
Purple OG 18,indica,0.190,0.001, Fruity, Earthy, Sandalwood,, Relaxed, Sedative, Body-buzz,, Photoperiod, 7-8 weeks
Purple Orange CBD,indica,0.180,0.010, Musky, Spicy, Hashish, Earthy, Sleepy, Meditative, Calming, Body-buzz, Photoperiod, 8-9 weeks
Purple Pinecone,indica,0.120,0.001, Sweet, Pungent, Cheese,, Relaxed, Long-lasting, Body-buzz,, Photoperiod, 9-10 weeks
Purple Queen,indica,0.120,0.001, Earthy, Caramel, Citrus, Skunk, Focused, Relaxed, Calming, Creative, Photoperiod, 8-9 weeks
Purple Romulan,indica,0.120,0.110, Sweet, Pungent, Cheese, Skunk, Relaxed, Happy,,, Photoperiod, 8-10 weeks
Purple Ryder,hybrid,0.190,0.030, Sweet, Earthy, Citrus,, Relaxed, Strong, Happy,, Photoperiod, 8-9 weeks
Purple Sirius Kush Autoflowering,indica,0.220,0.001, Berry, Sweet, Pepper,, Clear-headed, Relaxed, Body-buzz, Calming, Photoperiod, 7 weeks
Purple Stilton,hybrid,0.080,0.080, Sweet, Strawberry, Skunk,, Narcotic, Relaxed, Sociable, Calming, Photoperiod, 8 weeks
Purple Stilton Autoflowering,hybrid,0.120,0.030, Pungent, Pepper, Spicy, Earthy, Relaxed, Giggly, Body-buzz, Calming, Autoflowering, 9 weeks
Purple Trainwreck,indica,0.230,0.001, Fruity, Kushy, Sweet,, Relaxed, Long-lasting, Meditative, Body-buzz, Photoperiod, 8 weeks
Purps 1,indica,0.200,0.001, Spicy, Woody,,, Strong, Relaxed,,,,
Qleaner,indica,0.120,0.110, Sweet, Skunk, Earthy, Spicy, Cerebral, Relaxed, Happy, Calming, Photoperiod, 8-9 weeks
Qrazy Train,sativa,0.220,0.001, Citrus, Spicy, Sweet, Skunk, Energetic, Uplifting, Happy, Cerebral, Photoperiod, 10-12 weeks
Queen Anne's Revenge,sativa,0.160,0.110, Spicy, Pine, Sweet,, Energetic, Uplifting, Happy, Cerebral, Autoflowering, 9-10 weeks
Queen of Soul,hybrid,0.010,0.080, Fruity, Berry, Sweet, Earthy, Body-buzz, Sleepy, Calming, Relaxed, Photoperiod, 8-9 weeks
Querkle,indica,0.160,0.001, Pine, Citrus, Sweet,, Body-buzz, Energetic, Euphoric, Balanced, Autoflowering, 10-11 weeks
